"","ID","Authors","Title","Subjects","PMID","Publication Date","Longitudinal","Number of Omics","Purpose","Results","Main Biospecimen Types","Proteome","Metabolome","Lipidome","Transcriptome","Interactome","Genome","Secretome/Cytokine","Immunome/Signature","Epigenomics","Bibliome","Ubiquitinome","Phosphoproteome","Data download","Entry Created Date"
"28",13,"Young, B. E., et al","Effects of a major deletion in the SARS-CoV-2 genome on the severity of infection and the inflammatory response: an observational cohort study","92 patients (wild-type SARS-CoV-2), 29 patients (the SARS-CoV-2 variant), and 10 patients (the wild-type and variant strains of SARS-CoV-2)",32822564,"2020/8/18","yes,",2,"To investigate the effect of SARS-CoV-2 variants with a 382-nucleotide deletion on the clinical features of infection","1. The  382-nucleotide deletion variant of SARS-CoV-2 appears associated with a milder infection 
2. The observed clinical effects of deletions in the open reading frame 8 (ORF8) could have implications for the development of treatment and vaccines ","Plasma","NaN","NaN","NaN","NaN","NaN","bulk (382-nucleotide deletion)","NaN","immune mediators by immunoassay","NaN","NaN","NaN","NaN","https://ars.els-cdn.com/content/image/1-s2.0-S0140673620317578-mmc1.pdf","2021/9/22"
"29",13,"Young, B. E., et al","Effects of a major deletion in the SARS-CoV-2 genome on the severity of infection and the inflammatory response: an observational cohort study","92 patients (wild-type SARS-CoV-2), 29 patients (the SARS-CoV-2 variant), and 10 patients (the wild-type and variant strains of SARS-CoV-2)",32822564,"2020/8/18","yes,",2,"To investigate the effect of SARS-CoV-2 variants with a 382-nucleotide deletion on the clinical features of infection","1. The  382-nucleotide deletion variant of SARS-CoV-2 appears associated with a milder infection 
2. The observed clinical effects of deletions in the open reading frame 8 (ORF8) could have implications for the development of treatment and vaccines ","Respiratory samples","NaN","NaN","NaN","NaN","NaN","bulk (382-nucleotide deletion)","NaN","NaN","NaN","NaN","NaN","NaN","https://ars.els-cdn.com/content/image/1-s2.0-S0140673620317578-mmc1.pdf","2021/9/22"
"30",14,"Bruzzone, C., et al","SARS-CoV-2 infection dysregulates the metabolomic and lipidomic profiles of serum","263 (training cohort) and 135 (validation cohort) symptomatic COVID-19 patients, and 280 persons selected before the coronavirus pandemic started",33043283,"2020/10/5","no",2,"To understand how SARS-CoV-2 affects metabolism","1. Using Nuclear Magnetic Resonance (NMR) spectroscopy, we measured the metabolomic and lipidomic serum profile from training and validation cohorts of symptomatic patients hospitalised after positive PCR testing for SARS-CoV-2 infection 
2. Established the profiles of 280 persons collected before the coronavirus pandemic began
3. The lipidomic analysis unravelled a pathogenic redistribution of the lipoprotein particle size and composition to increase the atherosclerotic risk
4. Metabolomic analysis revealed abnormally high levels of ketone bodies and 2-hydroxybutyric acid
5. Consistent with a model in which SARS-CoV-2 infection induces liver damage associated with dyslipidemia and oxidative stress ","Serum","NaN","bulk","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://ars.els-cdn.com/content/image/1-s2.0-S2589004220308373-mmc1.pdf","2021/9/22"
"31",15,"Barberis, E., et al","Large-Scale Plasma Analysis Revealed New Mechanisms and Molecules Associated with the Host Response to SARS-CoV-2","19 critical patients, 84 non-critical patients, 32 COVID-19-negative patients with symptoms, and 26 healthy controls",33207699,"2020/11/16","no",2,"To characterise metabolomics and lipidomics profiles associated with a host immune response to COVID-19 to identify potential new therapeutic targets","1. Several circulating lipids, such as phosphatidylcholine, phosphatidylcholine, and phosphatidylethanolamine, acted as potential biomarkers for COVID-19
2. Triglycerides and free fatty acids correlated well with the severity of disease 
3. An untargeted analysis of noncritical COVID-19 patients identified a strong alteration of lipids
4. The severity of disease was characterised by the activation of gluconeogenesis and the metabolism of porphyrins, which play a crucial role in disease progression 
5. Phospholipase A2 (PLA2) activity as a potential key factor in the pathogenesis of COVID-19 and a possible therapeutic target","Plasma","NaN","bulk","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Deposited to the EMBL-EBI MetaboLights database with the identifier MTBLS1866","2021/9/22"
"32",16,"Islam, Abmmk K., et al","Transcriptome of nasopharyngeal samples from COVID-19 patients and a comparative analysis with other SARS-CoV-2 infection models reveal disparate host responses against SARS-CoV-2","4 nasopharyngeal samples, 2 lung biopsies from uninfected patients, 22 lung samples from deceased COVID-19 patients, 5 lung samples from deceased uninfected patients, and 2 cell lines",33413422,"2021/1/7","no",3,"1. To profile the host transcriptome of COVID-19 patients from nasopharyngeal samples along with virus genomic features isolated from the respective host 
2. To complete comparative analyses of differential host responses in various SARS-CoV-2 infection systems","1. Unique and rare missense mutations in 3C-like protease observed in all of their reported isolates 
2. Demonstrated that the host-induced responses are mediated by innate immunity, interferon, and cytokine stimulation 
3. An upregulation of immune and cytokine signalling genes observed in the lungs 
4. Lungs lacked the overexpression of ACE2 as suspected, although high ACE2 but low DPP4 expressions were observed in nasopharyngeal cells 
5. Viral proteins, specifically the nonstructural protein-mediated overexpression of integrins in the lungs compared to nasopharyngeal samples, suggests a possible route of enhanced invasion 
6. Comparatively high expression of transcription factors plays pivotal roles in lung injury","Nasopharyngeal samples","NaN","NaN","NaN","bulk","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","SARS‐CoV‐2 genomes are deposited at GISAID initiatives portal (https://www. gisaid.org/) with accessions‐ EPI_ISL_450340, EPI_ISL_450341, EPI_ISL_450342,EPI_ISL_450345. Raw RNA‐seq data are deposited at NCBI‐GEO (https://www. ncbi.nlm.nih.gov/geo/) under the accession‐ GSM4667504, GSM4667505, GSM4667506, GSM4667507. ","2021/9/22"
"33",16,"Islam, Abmmk K., et al","Transcriptome of nasopharyngeal samples from COVID-19 patients and a comparative analysis with other SARS-CoV-2 infection models reveal disparate host responses against SARS-CoV-2","4 nasopharyngeal samples, 2 lung biopsies from uninfected patients, 22 lung samples from deceased COVID-19 patients, 5 lung samples from deceased uninfected patients, and 2 cell lines",33413422,"2021/1/7","no",3,"1. To profile the host transcriptome of COVID-19 patients from nasopharyngeal samples along with virus genomic features isolated from the respective host 
2. To complete comparative analyses of differential host responses in various SARS-CoV-2 infection systems","1. Unique and rare missense mutations in 3C-like protease observed in all of their reported isolates 
2. Demonstrated that the host-induced responses are mediated by innate immunity, interferon, and cytokine stimulation 
3. An upregulation of immune and cytokine signalling genes observed in the lungs 
4. Lungs lacked the overexpression of ACE2 as suspected, although high ACE2 but low DPP4 expressions were observed in nasopharyngeal cells 
5. Viral proteins, specifically the nonstructural protein-mediated overexpression of integrins in the lungs compared to nasopharyngeal samples, suggests a possible route of enhanced invasion 
6. Comparatively high expression of transcription factors plays pivotal roles in lung injury","Lung sample","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","SARS‐CoV‐2 genomes are deposited at GISAID initiatives portal (https://www. gisaid.org/) with accessions‐ EPI_ISL_450340, EPI_ISL_450341, EPI_ISL_450342,EPI_ISL_450345. Raw RNA‐seq data are deposited at NCBI‐GEO (https://www. ncbi.nlm.nih.gov/geo/) under the accession‐ GSM4667504, GSM4667505, GSM4667506, GSM4667507. ","2021/9/22"
"34",16,"Islam, Abmmk K., et al","Transcriptome of nasopharyngeal samples from COVID-19 patients and a comparative analysis with other SARS-CoV-2 infection models reveal disparate host responses against SARS-CoV-2","4 nasopharyngeal samples, 2 lung biopsies from uninfected patients, 22 lung samples from deceased COVID-19 patients, 5 lung samples from deceased uninfected patients, and 2 cell lines",33413422,"2021/1/7","no",3,"1. To profile the host transcriptome of COVID-19 patients from nasopharyngeal samples along with virus genomic features isolated from the respective host 
2. To complete comparative analyses of differential host responses in various SARS-CoV-2 infection systems","1. Unique and rare missense mutations in 3C-like protease observed in all of their reported isolates 
2. Demonstrated that the host-induced responses are mediated by innate immunity, interferon, and cytokine stimulation 
3. An upregulation of immune and cytokine signalling genes observed in the lungs 
4. Lungs lacked the overexpression of ACE2 as suspected, although high ACE2 but low DPP4 expressions were observed in nasopharyngeal cells 
5. Viral proteins, specifically the nonstructural protein-mediated overexpression of integrins in the lungs compared to nasopharyngeal samples, suggests a possible route of enhanced invasion 
6. Comparatively high expression of transcription factors plays pivotal roles in lung injury","Cell lines (Calu-3 cells and NHBE)","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","SARS‐CoV‐2 genomes are deposited at GISAID initiatives portal (https://www. gisaid.org/) with accessions‐ EPI_ISL_450340, EPI_ISL_450341, EPI_ISL_450342,EPI_ISL_450345. Raw RNA‐seq data are deposited at NCBI‐GEO (https://www. ncbi.nlm.nih.gov/geo/) under the accession‐ GSM4667504, GSM4667505, GSM4667506, GSM4667507. ","2021/9/22"
"35",16,"Islam, Abmmk K., et al","Transcriptome of nasopharyngeal samples from COVID-19 patients and a comparative analysis with other SARS-CoV-2 infection models reveal disparate host responses against SARS-CoV-2","4 nasopharyngeal samples, 2 lung biopsies from uninfected patients, 22 lung samples from deceased COVID-19 patients, 5 lung samples from deceased uninfected patients, and 2 cell lines",33413422,"2021/1/7","no",3,"1. To profile the host transcriptome of COVID-19 patients from nasopharyngeal samples along with virus genomic features isolated from the respective host 
2. To complete comparative analyses of differential host responses in various SARS-CoV-2 infection systems","1. Unique and rare missense mutations in 3C-like protease observed in all of their reported isolates 
2. Demonstrated that the host-induced responses are mediated by innate immunity, interferon, and cytokine stimulation 
3. An upregulation of immune and cytokine signalling genes observed in the lungs 
4. Lungs lacked the overexpression of ACE2 as suspected, although high ACE2 but low DPP4 expressions were observed in nasopharyngeal cells 
5. Viral proteins, specifically the nonstructural protein-mediated overexpression of integrins in the lungs compared to nasopharyngeal samples, suggests a possible route of enhanced invasion 
6. Comparatively high expression of transcription factors plays pivotal roles in lung injury","Unspecified/Multiple","NaN","NaN","NaN","NaN","PPI","NaN","NaN","NaN","NaN","NaN","NaN","NaN","SARS‐CoV‐2 genomes are deposited at GISAID initiatives portal (https://www. gisaid.org/) with accessions‐ EPI_ISL_450340, EPI_ISL_450341, EPI_ISL_450342,EPI_ISL_450345. Raw RNA‐seq data are deposited at NCBI‐GEO (https://www. ncbi.nlm.nih.gov/geo/) under the accession‐ GSM4667504, GSM4667505, GSM4667506, GSM4667507. ","2021/9/22"
"36",17,"Chen, T., et al","A multi-modal data harmonisation approach for discovery of COVID-19 drug targets","Varies across literature and datasets",34036326,"2021/5/24","no",4,"To present a generic, reproducible, and flexible open-access data harmonisation framework that can be scaled to future multiomics analyses and applied it to a drug screening task in COVID-19","1. The two datasets were used for drug-target analysis, resulting in a list of 84 drug–target candidates 
2. Computational docking and toxicity analyses revealed seven high-confidence targets (amsacrine, bosutinib, ceritinib, crizotinib, nintedanib, and sunitinib) as potential starting points for drug therapy and development","Plasma","bulk","bulk","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://doi.org/10.5281/zenodo.4562010","2021/9/22"
"37",17,"Chen, T., et al","A multi-modal data harmonisation approach for discovery of COVID-19 drug targets","Varies across literature and datasets",34036326,"2021/5/24","no",4,"To present a generic, reproducible, and flexible open-access data harmonisation framework that can be scaled to future multiomics analyses and applied it to a drug screening task in COVID-19","1. The two datasets were used for drug-target analysis, resulting in a list of 84 drug–target candidates 
2. Computational docking and toxicity analyses revealed seven high-confidence targets (amsacrine, bosutinib, ceritinib, crizotinib, nintedanib, and sunitinib) as potential starting points for drug therapy and development","Leukocyte","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://doi.org/10.5281/zenodo.4562010","2021/9/22"
"38",17,"Chen, T., et al","A multi-modal data harmonisation approach for discovery of COVID-19 drug targets","Varies across literature and datasets",34036326,"2021/5/24","no",4,"To present a generic, reproducible, and flexible open-access data harmonisation framework that can be scaled to future multiomics analyses and applied it to a drug screening task in COVID-19","1. The two datasets were used for drug-target analysis, resulting in a list of 84 drug–target candidates 
2. Computational docking and toxicity analyses revealed seven high-confidence targets (amsacrine, bosutinib, ceritinib, crizotinib, nintedanib, and sunitinib) as potential starting points for drug therapy and development","Cell line (Caco-2 cells)","bulk","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://doi.org/10.5281/zenodo.4562010","2021/9/22"
"39",18,"Barh, D., et al","A novel multi-omics-based highly accurate prediction of symptoms, comorbid conditions, and possible long-term complications of COVID-19","Varies across literature and datasets",33683246,"2021/3/8","no",4,"To investigate comprehensive clinical pictures, comorbid conditions, and the long-term complications of COVID-19","1. Except for a dry cough and a loss of taste, all other COVID-19-associated mild and severe symptoms are enriched 
2. Cardiovascular diseases (CVDs), and pulmonary, metabolic, musculoskeletal, neuropsychiatric, kidney, liver, and immune system disorders represent the most common comorbid conditions 
3. Specific diseases along with several other non-communicable diseases represented the top candidates 
4. Many cancers and congenital disorders associated with COVID-19 severity identified 
5. Arthritis, gliomas, diabetes, psychiatric disorders, and CVDs with a bidirectional relationship with COVID-19 also identified as the most common conditions 
6. Based on our accuracy (>90%), a long-term presence of SARS-CoV-2 RNA remains in humans","Cell line (Caco-2 cells)","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Data for this project is available from the corresponding author upon request.","2021/9/22"
"40",18,"Barh, D., et al","A novel multi-omics-based highly accurate prediction of symptoms, comorbid conditions, and possible long-term complications of COVID-19","Varies across literature and datasets",33683246,"2021/3/8","no",4,"To investigate comprehensive clinical pictures, comorbid conditions, and the long-term complications of COVID-19","1. Except for a dry cough and a loss of taste, all other COVID-19-associated mild and severe symptoms are enriched 
2. Cardiovascular diseases (CVDs), and pulmonary, metabolic, musculoskeletal, neuropsychiatric, kidney, liver, and immune system disorders represent the most common comorbid conditions 
3. Specific diseases along with several other non-communicable diseases represented the top candidates 
4. Many cancers and congenital disorders associated with COVID-19 severity identified 
5. Arthritis, gliomas, diabetes, psychiatric disorders, and CVDs with a bidirectional relationship with COVID-19 also identified as the most common conditions 
6. Based on our accuracy (>90%), a long-term presence of SARS-CoV-2 RNA remains in humans","BALF","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Data for this project is available from the corresponding author upon request.","2021/9/22"
"41",18,"Barh, D., et al","A novel multi-omics-based highly accurate prediction of symptoms, comorbid conditions, and possible long-term complications of COVID-19","Varies across literature and datasets",33683246,"2021/3/8","no",4,"To investigate comprehensive clinical pictures, comorbid conditions, and the long-term complications of COVID-19","1. Except for a dry cough and a loss of taste, all other COVID-19-associated mild and severe symptoms are enriched 
2. Cardiovascular diseases (CVDs), and pulmonary, metabolic, musculoskeletal, neuropsychiatric, kidney, liver, and immune system disorders represent the most common comorbid conditions 
3. Specific diseases along with several other non-communicable diseases represented the top candidates 
4. Many cancers and congenital disorders associated with COVID-19 severity identified 
5. Arthritis, gliomas, diabetes, psychiatric disorders, and CVDs with a bidirectional relationship with COVID-19 also identified as the most common conditions 
6. Based on our accuracy (>90%), a long-term presence of SARS-CoV-2 RNA remains in humans","PBMCs","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Data for this project is available from the corresponding author upon request.","2021/9/22"
"42",18,"Barh, D., et al","A novel multi-omics-based highly accurate prediction of symptoms, comorbid conditions, and possible long-term complications of COVID-19","Varies across literature and datasets",33683246,"2021/3/8","no",4,"To investigate comprehensive clinical pictures, comorbid conditions, and the long-term complications of COVID-19","1. Except for a dry cough and a loss of taste, all other COVID-19-associated mild and severe symptoms are enriched 
2. Cardiovascular diseases (CVDs), and pulmonary, metabolic, musculoskeletal, neuropsychiatric, kidney, liver, and immune system disorders represent the most common comorbid conditions 
3. Specific diseases along with several other non-communicable diseases represented the top candidates 
4. Many cancers and congenital disorders associated with COVID-19 severity identified 
5. Arthritis, gliomas, diabetes, psychiatric disorders, and CVDs with a bidirectional relationship with COVID-19 also identified as the most common conditions 
6. Based on our accuracy (>90%), a long-term presence of SARS-CoV-2 RNA remains in humans","Cell lines (human lung epithelium-derived cell lines)","NaN","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Data for this project is available from the corresponding author upon request.","2021/9/22"
"43",18,"Barh, D., et al","A novel multi-omics-based highly accurate prediction of symptoms, comorbid conditions, and possible long-term complications of COVID-19","Varies across literature and datasets",33683246,"2021/3/8","no",4,"To investigate comprehensive clinical pictures, comorbid conditions, and the long-term complications of COVID-19","1. Except for a dry cough and a loss of taste, all other COVID-19-associated mild and severe symptoms are enriched 
2. Cardiovascular diseases (CVDs), and pulmonary, metabolic, musculoskeletal, neuropsychiatric, kidney, liver, and immune system disorders represent the most common comorbid conditions 
3. Specific diseases along with several other non-communicable diseases represented the top candidates 
4. Many cancers and congenital disorders associated with COVID-19 severity identified 
5. Arthritis, gliomas, diabetes, psychiatric disorders, and CVDs with a bidirectional relationship with COVID-19 also identified as the most common conditions 
6. Based on our accuracy (>90%), a long-term presence of SARS-CoV-2 RNA remains in humans","Unspecified/Multiple","NaN","NaN","NaN","NaN","SARS-CoV-2-human PPI","NaN","NaN","NaN","NaN","yes","NaN","NaN","Data for this project is available from the corresponding author upon request.","2021/9/22"
"44",19,"Sciacchitano, S., et al","Gene signature and immune cell profiling by high-dimensional, single-cell analysis in COVID-19 patients, presenting Low T3 syndrome and coexistent hematological malignancies","38 patients (low levels of FT3) and 24 patients (normal FT3) hospitalized during the first wave of SARS-CoV-2 outbreak",33794925,"2021/4/1","no",3,"To analyse the clinical relevance of low T3 syndrome in COVID-19 patients, in particular, amongst those with associated haematological malignancies","1. Low FT3 serum levels associated with severe COVID-19 
2. T3 involved in the immune response to COVID-19, and the coexistence of a haematological malignancy and new possible T3 target genes in such patients identified","PBMCs","NaN","NaN","NaN","NaN","NaN","bulk","multiplex cytokine","immunological profiles","NaN","NaN","NaN","NaN","Data for this project is available from the corresponding author upon request.","2021/9/22"
"45",20,"Muthuramalingam, P., et al","Global multi-omics and systems pharmacological strategy unravel the multi-targeted therapeutic potential of natural bioactive molecules against COVID-19: An in silico approach","Public database or databases: ArrayExpress, PubChem, and WHO prescribed COVID-19 drugs list",32771622,"2020/8/7","no",3,"To unravel the multitargeted mechanisms of novel bioactives to combat COVID-19 using multiomics and systems pharmacological analyses","1. Among 259 plant-derived compounds, 154 compounds targeting 13 COVID-19 immune genes involved in diverse signalling pathways
2. Pharmacological properties of these phytocompounds compared with COVID-19 drugs prescribed by WHO, and 25 novel phytocompounds found to be more efficient with higher bioactive scores ","Blood sample","NaN","NaN","NaN","bulk","NaN","NaN","NaN","immuno-transcriptomic","NaN","NaN","NaN","NaN","The human immuno-transcriptomic dataset of healthy controls and COVID-19 cases  (E-MTAP-8871) was collected and retrieved from the ArrayExpress database (www.ebi.ac.uk/arrayexpress/) ","2021/9/22"
"46",20,"Muthuramalingam, P., et al","Global multi-omics and systems pharmacological strategy unravel the multi-targeted therapeutic potential of natural bioactive molecules against COVID-19: An in silico approach","Public database or databases: ArrayExpress, PubChem, and WHO prescribed COVID-19 drugs list",32771622,"2020/8/7","no",3,"To unravel the multitargeted mechanisms of novel bioactives to combat COVID-19 using multiomics and systems pharmacological analyses","1. Among 259 plant-derived compounds, 154 compounds targeting 13 COVID-19 immune genes involved in diverse signalling pathways
2. Pharmacological properties of these phytocompounds compared with COVID-19 drugs prescribed by WHO, and 25 novel phytocompounds found to be more efficient with higher bioactive scores ","Unspecified/Multiple","NaN","NaN","NaN","NaN","PPI","NaN","NaN","NaN","NaN","NaN","NaN","NaN","The human immuno-transcriptomic dataset of healthy controls and COVID-19 cases  (E-MTAP-8871) was collected and retrieved from the ArrayExpress database (www.ebi.ac.uk/arrayexpress/) ","2021/9/22"
"47",21,"Bernardes, J. P., et al","Longitudinal Multi-omics Analyses Identify Responses of Megakaryocytes, Erythroid Cells, and Plasmablasts as Hallmarks of Severe COVID-19","14 patients",33296687,"2020/11/26","yes,  5 time points.",4,"To provide a comprehensive, longitudinal view of cellular features in COVID-19 by using an integrated multiomics approach","1. Severe COVID-19 characterised by an increase in proliferating, metabolically hyperactive plasmablasts 
2. Expansion of interferon-activated circulating megakaryocytes and increased erythropoiesis with features of hypoxic signalling 
3. Megakaryocyte and erythroid cell-derived co-expression modules indicative of a fatal disease outcome ","Blood sample","NaN","NaN","NaN","bulk","NaN","NaN","NaN","bulk BCR-seq","bulk (DNA methylation)","NaN","NaN","NaN","1. The bulk RNA-seq and BCR-seq data generated during this study available from the GEO database (GSE161777)
2. The Illumina EPIC Array data generated during this study available from the GEO database (GSE161678) 
3. The raw single-cell RNA-seq data and single-cell BCR-seq data generated during this study available from EGA","2021/9/22"
"48",21,"Bernardes, J. P., et al","Longitudinal Multi-omics Analyses Identify Responses of Megakaryocytes, Erythroid Cells, and Plasmablasts as Hallmarks of Severe COVID-19","14 patients",33296687,"2020/11/26","yes,  5 time points.",4,"To provide a comprehensive, longitudinal view of cellular features in COVID-19 by using an integrated multiomics approach","1. Severe COVID-19 characterised by an increase in proliferating, metabolically hyperactive plasmablasts 
2. Expansion of interferon-activated circulating megakaryocytes and increased erythropoiesis with features of hypoxic signalling 
3. Megakaryocyte and erythroid cell-derived co-expression modules indicative of a fatal disease outcome ","PBMCs","NaN","NaN","NaN","single-cell","NaN","NaN","NaN","scBCR-seq","NaN","NaN","NaN","NaN","1. The bulk RNA-seq and BCR-seq data generated during this study available from the GEO database (GSE161777)
2. The Illumina EPIC Array data generated during this study available from the GEO database (GSE161678) 
3. The raw single-cell RNA-seq data and single-cell BCR-seq data generated during this study available from EGA","2021/9/22"
"49",21,"Bernardes, J. P., et al","Longitudinal Multi-omics Analyses Identify Responses of Megakaryocytes, Erythroid Cells, and Plasmablasts as Hallmarks of Severe COVID-19","14 patients",33296687,"2020/11/26","yes,  5 time points.",4,"To provide a comprehensive, longitudinal view of cellular features in COVID-19 by using an integrated multiomics approach","1. Severe COVID-19 characterised by an increase in proliferating, metabolically hyperactive plasmablasts 
2. Expansion of interferon-activated circulating megakaryocytes and increased erythropoiesis with features of hypoxic signalling 
3. Megakaryocyte and erythroid cell-derived co-expression modules indicative of a fatal disease outcome ","Serum","NaN","NaN","NaN","NaN","NaN","NaN","multiplex cytokine","antiviral antibodies","NaN","NaN","NaN","NaN","1. The bulk RNA-seq and BCR-seq data generated during this study available from the GEO database (GSE161777)
2. The Illumina EPIC Array data generated during this study available from the GEO database (GSE161678) 
3. The raw single-cell RNA-seq data and single-cell BCR-seq data generated during this study available from EGA","2021/9/22"
"50",22,"Sun, C.,  et al","Longitudinal multi-omics transition associated with fatality in critically ill COVID-19 patients","33 severe and critical COVID-19 patients without selected comorbidities and 114 critical COVID-19 patients",33721144,"2021/3/15","yes",4,"To perform a longitudinal investigation of the potential mechanisms affecting the prognosis of critically ill COVID-19 patients","1. Frequent transcriptional phase transitions may contribute to outcomes in critically ill COVID-19 patients 
2. Fluctuations in red blood cell and haemoglobin levels may associate with a poor prognosis 
3. The biological function of melatonin suppressed in COVID-19 deaths","Serum","bulk","bulk","bulk","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","https://www.ebi.ac.uk/biostudies/studies/S-EPMC7957447?xr=true","2021/9/22"
"51",23,"Terracciano, R., et al","Mapping the SARS-CoV-2-Host Protein-Protein Interactome by Affinity Purification Mass Spectrometry and Proximity-Dependent Biotin Labeling: A Rational and Straightforward Route to Discover Host-Directed Anti-SARS-CoV-2 Therapeutics","Varies across literature and datasets",33430309,"2021/1/7","no",2,"To identify host-directed anti-SARS-CoV-2 therapeutics using protein-protein interactions analysis","1. Generating protein-protein interaction maps may help to uncover cellular processes hijacked and/or altered by SARS-CoV-2, providing promising therapeutic targets 
2. Drug repurposing might shorten the time and reduce the costs in comparison to the traditional drug discovery process ","Unspecified/Multiple","NaN","NaN","NaN","NaN","SARS-CoV-2-human PPI","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Data for this project is available from the corresponding author upon request.","2021/9/22"
"52",23,"Terracciano, R., et al","Mapping the SARS-CoV-2-Host Protein-Protein Interactome by Affinity Purification Mass Spectrometry and Proximity-Dependent Biotin Labeling: A Rational and Straightforward Route to Discover Host-Directed Anti-SARS-CoV-2 Therapeutics","Varies across literature and datasets",33430309,"2021/1/7","no",2,"To identify host-directed anti-SARS-CoV-2 therapeutics using protein-protein interactions analysis","1. Generating protein-protein interaction maps may help to uncover cellular processes hijacked and/or altered by SARS-CoV-2, providing promising therapeutic targets 
2. Drug repurposing might shorten the time and reduce the costs in comparison to the traditional drug discovery process ","PBMCs","bulk","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Data for this project is available from the corresponding author upon request.","2021/9/22"
"53",24,"Stukalov, A., et al","Multilevel proteomics reveals host perturbations by SARS-CoV-2 and SARS-CoV","The two viruses of SARS-CoV-2 and SARS-CoV",33845483,"2021/4/12","no",5,"1. To project multiomics data onto the global network of cellular interactions revealing the crosstalk between perturbations taking place upon infection with SARS-CoV-2 and SARS-CoV at different levels
2. To identify of distinct and common molecular mechanisms of these closely related coronaviruses","1. The TGF-β pathway specifically dysregulated by SARS-CoV-2 ORF8 and the autophagy specifically dysregulated by SARS-CoV-2 ORF3 
2. The extensive dataset highlights many hotspots that could be targeted using existing drugs and may be employed to guide the rational design of virus- and host-directed therapies
3. Inhibitors of kinases and matrix metalloproteases with potent antiviral effects against SARS-CoV-2 ","Cell line (A549 cells)","bulk","NaN","NaN","bulk","NaN","NaN","NaN","NaN","NaN","NaN","bulk","bulk","Raw sequencing data for this study have been deposited with the ENA at EMBL-EBI under accession number PRJEB38744. _x000D_
The mass spectrometry proteomics data have been deposited to the ProteomeX change Consortium via the PRIDE83 partner repository with the dataset identifiers PXD022282, PXD020461 and PXD020222. _x000D_
Protein interactions identified in this study have been submitted to the IMEx (https://www.imexconsortium.org) consortium through IntAct84 with the identifier IM-28109. _x000D_
The data and analysis results are accessible online via the interactive web interface at https://covinet.innatelab.org.","2021/9/22"
"54",24,"Stukalov, A., et al","Multilevel proteomics reveals host perturbations by SARS-CoV-2 and SARS-CoV","The two viruses of SARS-CoV-2 and SARS-CoV",33845483,"2021/4/12","no",5,"1. To project multiomics data onto the global network of cellular interactions revealing the crosstalk between perturbations taking place upon infection with SARS-CoV-2 and SARS-CoV at different levels
2. To identify of distinct and common molecular mechanisms of these closely related coronaviruses","1. The TGF-β pathway specifically dysregulated by SARS-CoV-2 ORF8 and the autophagy specifically dysregulated by SARS-CoV-2 ORF3 
2. The extensive dataset highlights many hotspots that could be targeted using existing drugs and may be employed to guide the rational design of virus- and host-directed therapies
3. Inhibitors of kinases and matrix metalloproteases with potent antiviral effects against SARS-CoV-2 ","Unspecified/Multiple","NaN","NaN","NaN","NaN","PPI","NaN","NaN","NaN","NaN","NaN","NaN","NaN","Raw sequencing data for this study have been deposited with the ENA at EMBL-EBI under accession number PRJEB38744. _x000D_
The mass spectrometry proteomics data have been deposited to the ProteomeX change Consortium via the PRIDE83 partner repository with the dataset identifiers PXD022282, PXD020461 and PXD020222. _x000D_
Protein interactions identified in this study have been submitted to the IMEx (https://www.imexconsortium.org) consortium through IntAct84 with the identifier IM-28109. _x000D_
The data and analysis results are accessible online via the interactive web interface at https://covinet.innatelab.org.","2021/9/22"
"55",25,"Chen, X. J., et al","Novel insight from the first lung transplant of a COVID-19 patient","36 samples were collected from the lungs",33131070,"2020/11/20","no",3,"To reveal detailed histopathological changes, virus distributions, immunological properties, and multiomic features caused by SARS-CoV-2 in the explanted lungs from the world's first successful lung transplantation of a COVID-19 patient","The significant neutrophil / CD3+ CD4- T-cell / macrophage activation leads to a cytokine storm and severe fibrosis in the lungs of a COVID-19 patient","Lung sample","bulk","NaN","NaN","bulk","NaN","NaN","NaN","immune cells","NaN","NaN","NaN","NaN","Online supplement","2021/9/22"
